"Municipality","Index","Sensitivity_Slope","MK_P_Value"
"Bhirkot","prcptot",-5.03382303969298,0.0586713902026402
"Bihadi","ice_days",0,NA
"Bihadi","frost_days",-0.03125,0.000645405216427246
"Bihadi","cdd",0.0384615384615385,0.468551716844094
"Bihadi","cwd",-0.064866760168303,0.587048638831428
"Bihadi","r99p",-0.427095775000001,0.526437834666865
"Bihadi","r95p",-3.68614764487179,0.141139179259809
"Bihadi","wsdi",0,0.071684314798697
"Bihadi","csdi",0,0.00235741366518755
"Bihadi","sdii",-0.0266757665729483,0.0696084280989551
"Bihadi","gsl",0,0.942774947402695
"Bihadi","r10mm",-0.0863354037267081,0.191521820767022
"Bihadi","r20mm",-0.0666666666666667,0.208018303478559
"Bihadi","prcptot",-5.03028005555556,0.0821662598527348
"Binayee.Tribeni","ice_days",0,NA
"Binayee.Tribeni","frost_days",0,0.307564941766882
"Binayee.Tribeni","cdd",-0.0714285714285714,0.557873993517599
"Binayee.Tribeni","cwd",-0.263157894736842,0.0579480089824439
"Binayee.Tribeni","r99p",0,0.908278416349332
"Binayee.Tribeni","r95p",-3.08881457824675,0.117159392819052
"Binayee.Tribeni","wsdi",-0.138627450980392,0.0327303236299863
"Binayee.Tribeni","csdi",-0.307692307692308,6.67248010525421e-08
"Binayee.Tribeni","sdii",-0.0397120964903846,0.0198705821745036
"Binayee.Tribeni","gsl",0,1
"Binayee.Tribeni","r10mm",-0.157378740970072,0.0136856309052798
"Binayee.Tribeni","r20mm",-0.133333333333333,0.00504399564228419
"Binayee.Tribeni","prcptot",-5.35649493170426,0.0710863214000788
"Biruwa","ice_days",0,NA
"Biruwa","frost_days",0,0.0493504941172674
"Biruwa","cdd",0,0.612734689538059
"Biruwa","cwd",-0.111111111111111,0.492708495991848
"Biruwa","r99p",-2.55428330769231,0.0631341207801167
"Biruwa","r95p",-4.83299834380953,0.0667283013554522
"Biruwa","wsdi",-0.0923295454545455,0.0497033886740658
"Biruwa","csdi",0,0.0100139327450313
"Biruwa","sdii",-0.0259339470407326,0.052590162074338
"Biruwa","gsl",0,1
"Biruwa","r10mm",-0.0612244897959184,0.333011777568081
"Biruwa","r20mm",-0.0722996515679442,0.0798914584064284
"Biruwa","prcptot",-5.4929144125,0.0449690589950276
"Bulingtar","ice_days",0,NA
"Bulingtar","frost_days",0,0.307564941766882
"Bulingtar","cdd",-0.0631648936170213,0.606825150220307
"Bulingtar","cwd",-0.432183908045977,0.01127212626437
"Bulingtar","r99p",-0.567306008307926,0.384276594003206
"Bulingtar","r95p",-3.28728270407609,0.126336328995083
"Bulingtar","wsdi",-0.0513157894736842,0.0778145341397526
"Bulingtar","csdi",-0.127128427128427,3.23771076619376e-06
"Bulingtar","sdii",-0.0328398031048387,0.0145625593435036
"Bulingtar","gsl",0,1
"Bulingtar","r10mm",-0.181818181818182,0.00335886905374457
"Bulingtar","r20mm",-0.1,0.0157924167919884
"Bulingtar","prcptot",-5.69199186631945,0.0255136236103458
"Bungdikali","ice_days",0,NA
"Bungdikali","frost_days",0,0.307564941766882
"Bungdikali","cdd",-0.0769230769230769,0.409711343263152
"Bungdikali","cwd",-0.373546511627907,0.0203478076879414
"Bungdikali","r99p",-1.6013748553961,0.143654020226114
"Bungdikali","r95p",-3.37904113240741,0.193560553315373
"Bungdikali","wsdi",-0.111111111111111,0.0334370750086745
"Bungdikali","csdi",0,0.000495696743428677
"Bungdikali","sdii",-0.0364452010690045,0.0198705821745036
"Bungdikali","gsl",0,1
"Bungdikali","r10mm",-0.142857142857143,0.0194999503759048
"Bungdikali","r20mm",-0.117647058823529,0.0144435276259984
"Bungdikali","prcptot",-5.68582693328901,0.0420002383308025
"Byas","ice_days",-0.265686274509804,0.0128770059630166
"Byas","frost_days",-0.142857142857143,0.0604179673136066
"Byas","cdd",0,0.908848928175606
"Byas","cwd",0.0782781862745098,0.33566787762194
"Byas","r99p",-1.25232789201452,0.0298312610159963
"Byas","r95p",-1.82679640934066,0.0420002383308025
"Byas","wsdi",0.0909090909090909,0.00398743785897558
"Byas","csdi",-0.13597842835131,0.000204320527212546
"Byas","sdii",-0.0115969914293313,0.0302452854328776
"Byas","gsl",0.192928039702233,0.0140906928583139
"Byas","r10mm",-0.125,0.0359129425228043
"Byas","r20mm",-0.0615384615384615,0.0261696867878135
"Byas","prcptot",-2.13094472619047,0.0586713902026402
